

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210709-UPlibs-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 13
Date	7/9/2021
Time	11:38:08 AM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	22.9



Actual Temperature:	22.9



Actual Temperature:	22.9

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.900	0.891	0.774	0.902	0.902	0.921	0.889	0.874	0.883	0.851	0.846	0.811	600
	118	133	80	114	146	164	131	196	170	197	147	84	GFP+RFP:485/20,528/20
	2367	2019	1411	1796	1897	5276	2497	1418	2086	2100	1913	41	GFP+RFP:540/35,600/40
	2630.877	2265.231	1823.233	1990.469	2103.571	5729.178	2807.826	1622.797	2363.204	2468.555	2262.299	50.549	Ratio
B	0.885	0.886	0.878	0.907	0.905	0.880	0.873	0.886	0.902	0.886	0.882	0.868	600
	118	125	148	136	133	137	131	162	223	217	216	144	GFP+RFP:485/20,528/20
	2750	2335	2084	3106	3881	1627	749	3171	2481	1633	1136	2248	GFP+RFP:540/35,600/40
	3106.643	2635.738	2374.388	3424.476	4289.346	1848.024	857.961	3579.815	2749.030	1842.076	1288.566	2591.056	Ratio
C	0.827	0.897	0.868	0.898	0.903	0.879	0.857	0.878	0.873	0.887	0.865	0.850	600
	87	120	103	120	123	140	125	147	145	228	131	143	GFP+RFP:485/20,528/20
	1262	2964	1512	2963	1748	2845	1324	2549	3153	2721	800	1501	GFP+RFP:540/35,600/40
	1525.444	3304.716	1741.334	3298.820	1935.984	3236.264	1544.564	2904.181	3612.511	3065.915	924.642	1765.882	Ratio
D	0.875	0.905	0.910	0.884	0.883	0.889	0.865	0.871	0.891	0.902	0.899	0.868	600
	125	120	117	109	140	132	125	131	117	114	120	156	GFP+RFP:485/20,528/20
	1960	4505	1706	54	2796	47	2534	1535	964	1897	2480	3678	GFP+RFP:540/35,600/40
	2239.744	4976.801	1873.696	61.100	3165.402	52.845	2928.803	1761.533	1081.688	2103.571	2758.928	4238.792	Ratio
E	0.809	0.902	0.867	0.916	0.918	0.901	0.892	0.913	0.911	0.896	0.892	0.869	600
	86	116	97	119	115	140	123	121	113	145	231	109	GFP+RFP:485/20,528/20
	1469	2265	709	3956	3172	3299	1669	1765	610	47	2092	1407	GFP+RFP:540/35,600/40
	1815.822	2511.922	818.234	4318.777	3456.844	3661.081	1871.706	1933.399	669.741	52.426	2345.554	1618.357	Ratio
F	0.875	0.842	0.894	0.892	0.884	0.894	0.775	0.813	0.843	0.868	0.866	0.834	600
	101	91	112	100	139	116	126	151	132	207	138	104	GFP+RFP:485/20,528/20
	1604	1577	4175	1254	3407	858	1805	3167	1457	1615	4369	775	GFP+RFP:540/35,600/40
	1832.515	1872.922	4668.978	1405.987	3851.894	959.732	2327.531	3893.533	1728.351	1859.956	5045.035	929.591	Ratio
G	0.899	0.654	0.884	0.879	0.894	0.884	0.880	0.873	0.880	0.902	0.878	0.884	600
	112	76	108	99	130	128	128	164	189	223	214	121	GFP+RFP:485/20,528/20
	4496	46	3134	1601	1551	1913	2816	820	2037	2149	2543	1449	GFP+RFP:540/35,600/40
	5003.339	70.336	3544.046	1821.802	1734.317	2163.048	3200.364	939.397	2313.984	2381.427	2897.345	1638.584	Ratio
H	0.820	0.860	0.851	0.910	0.897	0.911	0.881	0.867	0.889	0.867	0.855	0.879	600
	93	90	90	113	128	155	137	160	156	187	152	119	GFP+RFP:485/20,528/20
	1816	514	1696	2402	3051	6215	2048	2544	2063	1484	3380	1761	GFP+RFP:540/35,600/40
	2213.554	597.535	1994.121	2640.721	3400.580	6822.173	2323.840	2935.949	2321.368	1712.439	3954.141	2002.502	Ratio

