

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\211103-p70mut\211103-p70mut.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 1
Date	11/3/2021
Time	12:09:13 PM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	21.7



Actual Temperature:	21.8



Actual Temperature:	21.8

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.943	1.023	0.925	0.925	0.954	0.932	0.933	0.943	1.039	0.963	0.926	0.897	600
	252	260	242	237	259	249	255	244	241	249	234	237	GFP+RFP:485/20,528/20
	130	14571	132	2114	330	1068	321	1708	16993	3245	1644	82	GFP+RFP:540/35,600/40
	137.814	14237.835	142.734	2286.147	346.093	1145.677	344.162	1810.665	16352.002	3368.629	1774.803	91.365	Ratio
B	0.887	1.038	0.906	0.934	0.937	0.916	0.889	0.930	0.922	0.913	0.922	0.944	600
	235	262	249	253	262	249	230	243	242	234	245	245	GFP+RFP:485/20,528/20
	771	16236	141	103	261	237	2699	4771	90	1581	471	3673	GFP+RFP:540/35,600/40
	869.418	15641.618	155.646	110.337	278.430	258.847	3037.362	5131.763	97.646	1732.223	510.846	3889.242	Ratio
C	0.895	0.913	0.873	0.874	1.062	0.986	0.907	0.974	0.921	0.950	0.915	0.918	600
	240	236	240	237	273	268	251	243	254	263	239	257	GFP+RFP:485/20,528/20
	375	1956	68	1115	16816	4964	219	9252	218	244	1974	270	GFP+RFP:540/35,600/40
	418.994	2142.388	77.919	1275.306	15838.749	5035.504	241.455	9499.949	236.751	256.869	2158.321	294.182	Ratio
D	0.935	0.941	0.941	0.955	0.929	1.041	0.929	0.943	0.911	0.924	0.932	0.944	600
	255	250	251	258	248	243	245	260	242	240	247	249	GFP+RFP:485/20,528/20
	280	217	206	302	1636	16760	1717	271	1895	2797	67	3982	GFP+RFP:540/35,600/40
	299.497	230.581	218.870	316.330	1760.654	16104.545	1849.020	287.381	2079.219	3025.746	71.881	4219.561	Ratio
E	0.949	0.900	0.902	0.883	1.042	0.926	0.939	0.914	0.918	0.892	1.053	0.931	600
	256	235	247	245	260	253	251	255	255	236	259	227	GFP+RFP:485/20,528/20
	724	2009	160	135	22030	94	1918	456	266	2751	21018	10008	GFP+RFP:540/35,600/40
	762.587	2231.726	177.423	152.819	21142.035	101.512	2043.034	499.124	289.760	3085.464	19967.699	10750.886	Ratio
F	0.937	0.938	0.920	1.001	0.959	0.967	0.938	0.965	1.022	1.009	0.919	0.927	600
	235	236	236	247	262	260	251	262	272	258	235	237	GFP+RFP:485/20,528/20
	2437	2061	1613	10725	151	101	88	90	10189	9311	4344	4427	GFP+RFP:540/35,600/40
	2602.242	2197.462	1752.309	10717.498	157.521	104.501	93.777	93.255	9974.547	9226.120	4724.821	4774.590	Ratio
G	0.952	0.967	0.954	0.933	0.952	0.966	0.891	0.950	0.910	1.103	0.915	0.944	600
	241	260	256	249	258	264	240	256	248	280	252	245	GFP+RFP:485/20,528/20
	4570	213	210	111	422	86	2344	1106	72	19050	58	518	GFP+RFP:540/35,600/40
	4800.924	220.201	220.057	118.933	443.324	89.055	2631.047	1164.333	79.130	17266.383	63.388	548.729	Ratio
H	0.946	0.914	0.955	0.933	0.967	0.990	0.941	0.969	0.968	0.954	1.010	0.944	600
	255	257	254	248	254	258	259	270	258	251	264	250	GFP+RFP:485/20,528/20
	69	57	317	303	4730	4646	310	326	4578	1665	15268	313	GFP+RFP:540/35,600/40
	72.946	62.343	332.007	324.654	4891.417	4694.826	329.332	336.464	4731.783	1745.649	15113.839	331.708	Ratio

