

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210817-spacers-ecoli\210817-spacers-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 4
Date	8/17/2021
Time	10:51:59 AM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	20.9



Actual Temperature:	21.0



Actual Temperature:	21.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.904	0.904	0.918	0.942	0.913	0.920	0.902	0.931	0.921	0.906	0.889	0.873	600
	158	137	116	116	164	170	148	171	171	161	100	86	GFP+RFP:485/20,528/20
	115	133	185	135	104	107	125	117	110	109	127	134	GFP+RFP:540/35,600/40
	127.170	147.189	201.591	143.282	113.910	116.342	138.642	125.631	119.397	120.243	142.793	153.459	Ratio
B	0.880	0.904	0.913	0.907	0.899	0.912	0.925	0.906	0.918	0.918	0.911	0.780	600
	111	160	160	159	116	153	171	141	163	177	168	72	GFP+RFP:485/20,528/20
	125	1203	133	119	126	130	120	125	114	109	116	97	GFP+RFP:540/35,600/40
	142.110	1330.605	145.626	131.202	140.171	142.575	129.660	137.893	124.210	118.736	127.263	124.295	Ratio
C	0.902	0.887	0.921	0.904	0.882	0.892	0.895	0.908	0.917	0.890	0.892	0.867	600
	143	154	109	107	118	147	109	157	151	165	103	90	GFP+RFP:485/20,528/20
	138	120	124	128	1257	133	119	108	120	108	125	129	GFP+RFP:540/35,600/40
	153.027	135.272	134.636	141.546	1424.524	149.036	132.901	118.982	130.904	121.389	140.150	148.737	Ratio
D	0.889	0.903	0.895	0.917	0.913	0.885	0.901	0.911	0.868	0.711	0.723	0.846	600
	139	90	117	102	168	118	145	157	133	66	68	79	GFP+RFP:485/20,528/20
	123	129	133	123	114	129	122	125	125	82	85	125	GFP+RFP:540/35,600/40
	138.295	142.826	148.653	134.075	124.918	145.829	135.345	137.242	144.009	115.298	117.533	147.684	Ratio
E	0.912	0.911	0.918	0.905	0.931	0.899	0.895	0.875	0.913	0.797	0.859	0.671	600
	152	133	168	125	162	149	136	119	93	69	145	65	GFP+RFP:485/20,528/20
	140	130	113	123	160	1209	122	125	236	105	115	80	GFP+RFP:540/35,600/40
	153.441	142.622	123.134	135.972	171.877	1345.127	136.267	142.857	258.573	131.694	133.830	119.172	Ratio
F	0.919	0.914	0.916	0.919	0.911	0.894	0.912	0.901	0.910	0.902	0.899	0.690	600
	164	124	160	99	125	113	160	144	172	164	126	64	GFP+RFP:485/20,528/20
	122	134	120	133	118	129	109	118	107	978	142	93	GFP+RFP:540/35,600/40
	132.681	146.656	130.933	144.660	129.485	144.328	119.557	131.024	117.531	1084.017	158.024	134.744	Ratio
G	0.928	0.917	0.919	0.918	0.905	0.870	0.908	0.902	0.908	0.905	0.894	0.678	600
	120	168	125	112	87	127	157	153	165	184	160	68	GFP+RFP:485/20,528/20
	134	111	136	139	790	227	387	120	349	111	685	83	GFP+RFP:540/35,600/40
	144.319	121.020	148.003	151.334	873.218	260.980	426.165	133.038	384.150	122.638	766.391	122.401	Ratio
H	0.876	0.893	0.881	0.775	0.914	0.902	0.884	0.907	0.884	0.888	0.889	0.682	600
	123	151	80	81	111	108	118	138	144	163	94	68	GFP+RFP:485/20,528/20
	129	124	47	577	134	124	125	130	132	110	153	80	GFP+RFP:540/35,600/40
	147.176	138.920	53.373	744.516	146.640	137.411	141.323	143.314	149.287	123.860	172.007	117.250	Ratio

