

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210817-spacers-ecoli\210817-spacers-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 2
Date	8/17/2021
Time	10:42:46 AM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	20.6



Actual Temperature:	20.7



Actual Temperature:	20.7

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.922	0.920	0.939	0.961	0.855	0.911	0.898	0.905	0.893	0.891	0.906	0.887	600
	180	185	190	180	189	174	170	173	171	169	168	130	GFP+RFP:485/20,528/20
	255	316	293	4051	44	141	2247	1234	113	122	131	155	GFP+RFP:540/35,600/40
	276.633	343.329	312.167	4214.962	51.456	154.843	2503.063	1363.084	126.526	136.848	144.608	174.668	Ratio
B	0.919	0.930	0.918	0.926	0.928	0.917	0.945	0.922	0.930	0.934	0.930	0.912	600
	190	188	184	184	177	175	186	174	178	189	184	136	GFP+RFP:485/20,528/20
	174	136	152	599	134	239	2490	236	232	160	439	134	GFP+RFP:540/35,600/40
	189.274	146.252	165.505	646.798	144.334	260.576	2634.363	255.827	249.543	171.380	471.840	146.930	Ratio
C	0.919	0.920	0.917	0.931	0.930	0.914	0.866	0.925	0.928	0.941	0.909	0.883	600
	185	192	185	181	175	178	186	178	178	193	177	133	GFP+RFP:485/20,528/20
	275	209	224	647	115	118	45	130	104	189	767	790	GFP+RFP:540/35,600/40
	299.271	227.273	244.355	694.579	123.683	129.089	51.969	140.586	112.045	200.829	843.784	894.677	Ratio
D	0.931	0.922	0.932	0.922	0.889	0.915	0.909	0.915	0.923	0.913	0.925	0.869	600
	192	186	181	173	181	188	194	175	171	172	134	158	GFP+RFP:485/20,528/20
	783	127	130	662	128	120	201	570	169	146	184	221	GFP+RFP:540/35,600/40
	840.941	137.699	139.470	718.238	144.047	131.090	221.025	623.019	183.158	159.825	198.962	254.198	Ratio
E	0.923	0.935	0.909	0.907	0.925	0.920	0.913	0.914	0.909	0.915	0.902	0.883	600
	193	191	185	177	177	192	174	175	171	160	149	118	GFP+RFP:485/20,528/20
	192	899	181	764	1012	215	114	233	116	367	1007	206	GFP+RFP:540/35,600/40
	207.905	962.012	199.208	842.337	1094.291	233.797	124.836	255.035	127.655	401.093	1116.903	233.216	Ratio
F	0.936	0.920	0.948	0.926	0.922	0.918	0.937	0.913	0.919	0.924	0.905	0.900	600
	196	190	197	176	184	182	175	178	184	184	172	126	GFP+RFP:485/20,528/20
	292	319	144	120	137	457	245	101	141	199	156	598	GFP+RFP:540/35,600/40
	311.866	346.815	151.899	129.562	148.509	497.713	261.417	110.649	153.394	215.251	172.281	664.076	Ratio
G	0.946	0.952	0.940	0.937	0.955	0.943	0.941	0.926	0.914	0.931	0.896	0.900	600
	206	201	193	191	188	194	193	179	183	196	175	153	GFP+RFP:485/20,528/20
	1120	130	151	198	1781	1075	246	183	350	889	182	570	GFP+RFP:540/35,600/40
	1184.058	136.555	160.638	211.223	1864.531	1140.100	261.563	197.688	382.974	954.375	203.216	633.474	Ratio
H	0.923	0.926	0.930	0.916	0.933	0.905	0.902	0.905	0.906	0.918	0.870	0.884	600
	190	188	195	178	190	175	182	185	184	191	167	118	GFP+RFP:485/20,528/20
	241	153	153	143	144	382	181	337	125	131	146	606	GFP+RFP:540/35,600/40
	261.105	165.209	164.481	156.045	154.374	422.006	200.665	372.252	138.015	142.748	167.739	685.675	Ratio

