

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210903-spacers_E-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 3
Date	9/3/2021
Time	3:14:14 PM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	25.5



Actual Temperature:	25.5



Actual Temperature:	25.5

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.970	0.920	0.948	0.972	0.978	0.961	0.978	0.960	0.977	0.966	0.935	0.923	600
	238	218	224	249	237	233	251	228	229	223	215	209	GFP+RFP:485/20,528/20
	62	705	233	5311	58	59	5459	59	59	281	203	244	GFP+RFP:540/35,600/40
	63.944	766.304	245.858	5465.679	59.287	61.388	5580.658	61.465	60.370	290.830	217.066	264.413	Ratio
B	0.939	0.895	0.958	0.969	0.940	0.938	0.963	0.936	0.945	0.975	0.991	0.934	600
	229	255	236	237	224	224	231	219	220	232	252	214	GFP+RFP:485/20,528/20
	224	57	63	59	258	205	321	227	235	60	5206	541	GFP+RFP:540/35,600/40
	238.450	63.666	65.762	60.881	274.526	218.527	333.368	242.444	248.572	61.564	5253.280	579.291	Ratio
C	0.955	0.938	0.942	0.936	0.977	0.952	0.934	0.944	0.980	0.976	0.981	0.920	600
	236	227	226	226	231	229	223	225	241	238	230	215	GFP+RFP:485/20,528/20
	58	281	422	229	59	226	200	227	58	60	61	175	GFP+RFP:540/35,600/40
	60.752	299.669	448.221	244.710	60.420	237.470	214.225	240.594	59.184	61.469	62.162	190.197	Ratio
D	0.947	0.932	0.961	0.947	0.973	0.949	0.949	0.995	0.944	0.945	0.964	0.946	600
	249	224	261	230	241	225	218	241	218	222	225	222	GFP+RFP:485/20,528/20
	5110	208	171	67	62	413	53	242	239	279	88	182	GFP+RFP:540/35,600/40
	5393.709	223.224	177.977	70.742	63.694	435.195	55.866	243.143	253.312	295.144	91.334	192.348	Ratio
E	0.910	0.942	0.954	0.947	0.954	0.924	0.972	0.994	0.949	0.964	0.959	0.966	600
	219	231	237	233	234	226	242	246	224	231	230	230	GFP+RFP:485/20,528/20
	451	249	74	277	337	47	58	58	249	217	257	55	GFP+RFP:540/35,600/40
	495.659	264.303	77.552	292.657	353.324	50.855	59.659	58.379	262.354	225.197	268.099	56.954	Ratio
F	0.961	0.940	0.955	0.956	0.934	0.919	0.882	0.957	0.940	0.953	0.960	0.955	600
	241	231	237	229	232	220	243	233	251	230	229	233	GFP+RFP:485/20,528/20
	57	237	57	291	59	208	53	56	4908	326	210	56	GFP+RFP:540/35,600/40
	59.344	252.020	59.673	304.489	63.156	226.284	60.098	58.528	5224.055	342.185	218.659	58.626	Ratio
G	0.937	0.949	0.949	0.955	0.997	0.958	0.935	0.963	0.946	0.975	0.941	0.971	600
	237	236	231	238	251	232	228	234	224	236	223	236	GFP+RFP:485/20,528/20
	57	58	59	60	78	208	271	58	223	58	221	75	GFP+RFP:540/35,600/40
	60.852	61.091	62.164	62.854	78.266	217.051	289.933	60.203	235.729	59.512	234.807	77.240	Ratio
H	0.966	0.939	0.946	0.962	0.962	0.952	0.958	0.946	0.940	0.955	0.946	0.940	600
	248	233	240	242	241	236	238	230	227	232	224	221	GFP+RFP:485/20,528/20
	56	226	56	59	284	57	56	58	240	55	54	207	GFP+RFP:540/35,600/40
	57.965	240.810	59.228	61.350	295.096	59.880	58.486	61.311	255.428	57.604	57.095	220.260	Ratio

