

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210903-spacers_E-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 1
Date	9/3/2021
Time	2:53:20 PM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	25.6



Actual Temperature:	25.6



Actual Temperature:	25.6

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.956	0.942	0.955	0.987	0.947	0.955	0.972	0.995	0.990	0.940	0.968	0.960	600
	234	226	233	247	235	237	241	240	249	233	244	245	GFP+RFP:485/20,528/20
	207	2754	1224	248	297	284	3611	6029	106	452	127	352	GFP+RFP:540/35,600/40
	216.527	2924.498	1281.541	251.368	313.490	297.476	3716.550	6057.470	107.082	480.851	131.239	366.743	Ratio
B	0.951	0.876	0.973	0.998	1.015	0.945	0.960	0.969	0.981	0.974	0.972	0.941	600
	234	235	238	237	266	232	239	244	238	241	242	235	GFP+RFP:485/20,528/20
	70	74	62	7276	10090	286	298	135	5966	68	302	137	GFP+RFP:540/35,600/40
	73.645	84.446	63.747	7292.042	9944.806	302.581	310.287	139.391	6079.071	69.794	310.732	145.590	Ratio
C	0.942	0.938	0.940	0.927	0.980	0.931	0.945	0.944	0.941	0.959	0.958	0.919	600
	229	232	229	227	255	230	233	233	241	241	241	232	GFP+RFP:485/20,528/20
	61	70	460	1978	5133	391	432	2468	69	2390	70	236	GFP+RFP:540/35,600/40
	64.776	74.667	489.622	2134.456	5237.221	419.753	457.385	2615.792	73.303	2493.479	73.069	256.717	Ratio
D	0.951	0.979	0.964	0.960	1.006	0.970	0.941	0.962	0.978	0.969	0.942	0.963	600
	232	233	233	231	245	246	235	234	243	240	235	241	GFP+RFP:485/20,528/20
	723	6435	63	890	9199	115	228	3349	65	50	48	72	GFP+RFP:540/35,600/40
	760.172	6573.034	65.339	926.794	9145.044	118.532	242.244	3479.842	66.476	51.578	50.950	74.759	Ratio
E	0.972	0.985	0.950	0.959	0.970	0.966	0.975	0.998	0.944	0.955	0.931	0.904	600
	239	235	233	237	239	243	244	240	233	237	231	223	GFP+RFP:485/20,528/20
	70	3777	61	88	316	64	114	9491	66	65	267	3952	GFP+RFP:540/35,600/40
	72.031	3835.686	64.204	91.791	325.740	66.239	116.947	9509.067	69.952	68.034	286.850	4371.681	Ratio
F	0.987	0.965	0.947	0.959	0.947	0.972	0.937	0.990	0.961	0.986	0.944	0.946	600
	240	229	224	228	230	238	224	247	235	247	230	237	GFP+RFP:485/20,528/20
	67	436	520	330	403	63	674	75	347	67	459	379	GFP+RFP:540/35,600/40
	67.910	452.001	549.334	344.073	425.420	64.815	719.163	75.758	361.007	67.938	486.486	400.507	Ratio
G	0.980	0.967	0.990	0.985	0.982	0.954	0.961	0.977	0.987	0.994	0.972	0.937	600
	248	234	234	233	238	230	235	247	245	248	238	233	GFP+RFP:485/20,528/20
	5322	644	153	70	64	2669	65	501	63	760	296	59	GFP+RFP:540/35,600/40
	5430.058	665.977	154.483	71.066	65.206	2798.867	67.645	512.794	63.823	764.664	304.401	62.980	Ratio
H	0.967	0.987	0.958	0.935	0.951	0.964	0.964	0.952	0.939	0.923	0.942	0.954	600
	248	237	223	214	226	230	237	231	226	219	226	236	GFP+RFP:485/20,528/20
	5297	68	3874	272	65	4327	54	63	298	607	1073	64	GFP+RFP:540/35,600/40
	5476.067	68.924	4042.997	290.847	68.356	4487.658	56.034	66.156	317.427	657.353	1138.582	67.086	Ratio

