

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\210903-spacers_E-ecoli.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 4
Date	9/3/2021
Time	3:19:31 PM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	25.5



Actual Temperature:	25.4



Actual Temperature:	25.4

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	600
	23	25	25	24	25	23	25	24	24	24	24	23	GFP+RFP:485/20,528/20
	65	67	67	68	68	68	67	67	67	65	63	62	GFP+RFP:540/35,600/40
	1501.155	1569.087	1561.772	1592.506	1588.785	1581.395	1561.772	1547.344	1554.524	1501.155	1454.965	1431.871	Ratio
B	0.043	0.959	0.931	1.093	0.945	0.037	0.043	0.043	0.043	0.043	0.044	0.043	600
	26	215	209	242	206	20	26	26	25	25	25	24	GFP+RFP:485/20,528/20
	67	307	286	22781	553	52	70	68	68	67	65	64	GFP+RFP:540/35,600/40
	1540.230	320.292	307.197	20838.822	585.371	1397.849	1635.514	1570.439	1577.726	1547.344	1484.018	1478.060	Ratio
C	0.043	0.957	0.961	1.025	0.969	0.039	0.043	0.043	0.044	0.044	0.043	0.043	600
	26	235	220	236	225	19	27	26	24	25	26	24	GFP+RFP:485/20,528/20
	67	226	80	9489	52	49	70	69	68	68	66	65	GFP+RFP:540/35,600/40
	1565.421	236.179	83.247	9261.175	53.664	1256.410	1624.130	1589.862	1538.462	1548.975	1524.249	1497.696	Ratio
D	0.043	0.961	0.968	1.049	0.998	0.037	0.043	0.043	0.043	0.043	0.043	0.044	600
	26	204	239	246	237	20	27	28	26	26	25	25	GFP+RFP:485/20,528/20
	68	212	73	9827	52	50	70	70	68	67	69	65	GFP+RFP:540/35,600/40
	1588.785	220.604	75.429	9367.077	52.104	1355.014	1624.130	1609.195	1574.074	1547.344	1597.222	1490.826	Ratio
E	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.044	0.043	0.043	0.044	0.043	600
	26	25	27	27	27	26	26	27	26	25	25	25	GFP+RFP:485/20,528/20
	67	68	69	68	71	69	69	69	69	67	68	66	GFP+RFP:540/35,600/40
	1569.087	1585.082	1612.150	1596.244	1666.667	1597.222	1597.222	1582.569	1586.207	1540.230	1556.064	1520.737	Ratio
F	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.044	0.044	600
	26	26	26	27	27	27	27	27	26	27	24	25	GFP+RFP:485/20,528/20
	66	68	69	69	70	69	70	69	69	69	68	65	GFP+RFP:540/35,600/40
	1545.667	1600.000	1612.150	1604.651	1631.702	1615.925	1609.195	1586.207	1589.862	1589.862	1559.633	1487.414	Ratio
G	0.043	0.043	0.042	0.043	0.043	0.043	0.044	0.044	0.043	0.043	0.043	0.043	600
	25	26	26	28	26	26	26	26	26	26	27	26	GFP+RFP:485/20,528/20
	67	66	68	70	68	70	69	71	70	68	67	66	GFP+RFP:540/35,600/40
	1565.421	1520.737	1607.565	1639.344	1585.082	1635.514	1578.947	1628.440	1616.628	1566.820	1540.230	1520.737	Ratio
H	0.043	0.042	0.043	0.043	0.043	0.043	0.043	0.043	0.044	0.044	0.044	0.043	600
	24	24	26	26	25	26	28	27	26	25	24	26	GFP+RFP:485/20,528/20
	64	66	68	70	68	69	70	69	69	66	66	65	GFP+RFP:540/35,600/40
	1495.327	1560.284	1596.244	1643.192	1566.820	1600.928	1627.907	1589.862	1582.569	1510.297	1496.599	1497.696	Ratio

