

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\211029-off-target-UP\211029-off-target-UP.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 1
Date	10/29/2021
Time	11:18:27 AM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	21.0



Actual Temperature:	21.0



Actual Temperature:	21.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.937	0.952	0.970	0.981	0.965	0.998	0.975	0.975	0.943	0.942	0.923	0.932	600
	318	318	330	332	323	341	367	358	363	401	440	443	GFP+RFP:485/20,528/20
	1121	1126	1159	75	78	76	108	87	91	139	72	67	GFP+RFP:540/35,600/40
	1195.861	1182.401	1194.969	76.468	80.837	76.137	110.792	89.267	96.480	147.543	78.007	71.904	Ratio
B	0.960	0.964	0.954	0.945	0.935	0.947	0.985	0.988	0.999	0.971	0.951	0.918	600
	348	347	342	337	333	339	361	378	360	355	394	406	GFP+RFP:485/20,528/20
	241	96	120	98	71	210	103	76	88	183	65	79	GFP+RFP:540/35,600/40
	251.016	99.616	125.799	103.660	75.960	221.729	104.611	76.946	88.088	188.563	68.385	86.075	Ratio
C	0.942	0.949	0.957	0.953	0.980	0.973	0.988	0.985	0.966	0.946	0.919	0.910	600
	346	342	347	350	355	355	363	375	362	356	418	432	GFP+RFP:485/20,528/20
	265	182	60	106	108	80	110	132	69	182	54	117	GFP+RFP:540/35,600/40
	281.197	191.761	62.676	111.216	110.260	82.228	111.392	134.065	71.458	192.491	58.734	128.600	Ratio
D	0.932	0.945	0.981	0.948	0.959	0.977	0.949	0.983	0.994	0.955	0.945	0.926	600
	339	345	360	346	355	359	355	365	384	379	422	421	GFP+RFP:485/20,528/20
	481	61	82	194	107	74	97	69	188	139	546	124	GFP+RFP:540/35,600/40
	516.261	64.564	83.631	204.749	111.598	75.758	102.224	70.222	189.230	145.489	578.084	133.880	Ratio
E	0.903	0.947	0.928	0.966	0.945	0.933	0.964	0.991	0.967	0.960	0.934	0.922	600
	334	357	356	369	359	360	370	379	375	375	360	377	GFP+RFP:485/20,528/20
	162	620	63	297	162	159	70	783	173	63	64	61	GFP+RFP:540/35,600/40
	179.422	654.561	67.873	307.453	171.392	170.345	72.644	789.952	178.978	65.598	68.508	66.153	Ratio
F	0.936	0.943	0.928	0.954	0.962	0.957	0.937	0.945	0.945	0.913	0.945	0.842	600
	345	347	347	350	360	361	342	350	351	341	338	369	GFP+RFP:485/20,528/20
	411	80	111	69	608	250	171	61	64	258	84	170	GFP+RFP:540/35,600/40
	439.337	84.809	119.664	72.365	632.017	261.370	182.595	64.530	67.761	282.616	88.927	201.972	Ratio
G	0.904	0.922	0.937	0.935	0.948	0.944	0.935	0.916	0.938	0.911	0.854	0.902	600
	342	340	347	350	355	354	343	341	353	339	317	344	GFP+RFP:485/20,528/20
	133	110	57	106	79	139	107	177	105	107	195	128	GFP+RFP:540/35,600/40
	147.108	119.319	60.813	113.393	83.351	147.199	114.426	193.295	111.988	117.389	228.284	141.923	Ratio
H	0.935	0.945	0.954	0.952	0.965	0.937	0.974	0.961	0.971	0.963	0.884	0.871	600
	346	349	355	357	361	349	366	357	360	356	352	404	GFP+RFP:485/20,528/20
	97	67	57	85	824	227	63	61	172	189	106	101	GFP+RFP:540/35,600/40
	103.788	70.922	59.767	89.304	853.532	242.288	64.662	63.489	177.192	196.282	119.923	116.025	Ratio

