

Software Version	2.07.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\DA\211029-UPreselection\211029-UPreselection.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\OD600_GFP_RFP_35gain.prt



Plate Number	Plate 1
Date	10/29/2021
Time	11:29:25 AM
Reader Type:	Synergy HTX
Reader Serial Number:	15021819
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Read	GFP+RFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Bottom,  Gain: 35
	Filter Set 2
	    Excitation: 540/35,  Emission: 600/40
	    Optics: Bottom,  Gain: 35
	Light Source: Tungsten,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10



Actual Temperature:	21.2



Actual Temperature:	21.2



Actual Temperature:	21.2

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.907	0.938	0.946	0.994	0.981	0.984	0.903	0.944	0.958	0.973	0.976	0.972	600
	349	363	363	376	373	384	360	360	379	374	385	385	GFP+RFP:485/20,528/20
	55	55	56	5359	3521	2872	386	5166	738	2194	1273	1470	GFP+RFP:540/35,600/40
	60.626	58.642	59.172	5390.806	3591.025	2918.106	427.322	5473.037	770.194	2256.041	1304.972	1511.724	Ratio
B	0.807	0.876	0.904	0.964	0.943	0.970	0.945	0.963	0.965	0.961	0.975	0.961	600
	308	336	343	368	366	371	360	372	369	367	358	362	GFP+RFP:485/20,528/20
	1516	2347	4010	4462	1782	4450	3160	702	1449	2080	2111	2586	GFP+RFP:540/35,600/40
	1878.563	2680.448	4436.822	4627.671	1889.313	4585.738	3345.331	728.821	1501.243	2165.088	2164.462	2691.227	Ratio
C	0.916	0.903	0.911	0.920	0.957	0.912	0.960	0.913	0.926	0.932	0.960	1.066	600
	351	356	340	364	369	346	364	361	361	355	371	393	GFP+RFP:485/20,528/20
	314	396	450	762	5135	1472	5358	859	1659	602	3211	13230	GFP+RFP:540/35,600/40
	342.870	438.441	493.692	827.991	5363.484	1613.504	5579.506	940.442	1790.803	646.200	3346.186	12414.376	Ratio
D	0.928	0.926	0.955	0.954	0.929	0.907	0.939	0.956	0.943	0.933	0.925	0.967	600
	342	365	370	359	338	355	368	360	365	360	359	379	GFP+RFP:485/20,528/20
	726	871	4435	4854	421	514	2272	2700	835	1382	1400	1066	GFP+RFP:540/35,600/40
	782.243	940.503	4645.925	5089.651	453.224	566.641	2418.823	2824.859	885.848	1480.609	1513.677	1102.835	Ratio
E	1.010	0.957	0.943	0.966	0.970	0.947	0.922	0.920	0.907	0.937	0.933	1.020	600
	366	374	377	381	377	373	376	364	357	375	371	376	GFP+RFP:485/20,528/20
	10960	2993	236	1494	4926	3699	61	764	749	64	937	12271	GFP+RFP:540/35,600/40
	10854.709	3127.809	250.318	1546.104	5080.446	3906.432	66.146	830.525	826.073	68.274	1004.395	12029.213	Ratio
F	0.931	0.943	0.949	0.915	0.944	0.941	0.931	0.899	0.921	0.954	0.934	0.909	600
	358	365	367	356	369	365	362	351	355	370	359	358	GFP+RFP:485/20,528/20
	2416	3804	2496	963	707	683	493	109	868	2440	3644	544	GFP+RFP:540/35,600/40
	2593.666	4035.646	2631.246	1052.229	748.703	725.978	529.424	121.259	942.045	2557.116	3899.829	598.394	Ratio
G	0.931	0.917	0.935	0.962	0.943	0.958	0.945	0.922	0.914	0.926	0.919	0.912	600
	356	361	368	378	356	360	373	358	355	364	360	346	GFP+RFP:485/20,528/20
	1031	160	431	3115	1456	2587	1487	2718	2219	1216	1197	158	GFP+RFP:540/35,600/40
	1106.817	174.387	460.765	3238.382	1544.500	2701.263	1573.712	2948.579	2427.259	1313.742	1301.794	173.227	Ratio
H	0.943	0.947	0.947	0.956	0.957	0.965	1.013	1.010	0.954	0.937	0.938	0.924	600
	351	357	360	368	366	359	363	356	370	363	343	357	GFP+RFP:485/20,528/20
	5159	5197	858	895	5725	4991	10301	9427	1949	1937	775	1873	GFP+RFP:540/35,600/40
	5472.579	5490.175	906.498	936.290	5980.986	5171.485	10168.806	9333.663	2044.048	2066.354	825.962	2027.276	Ratio

